product_option_value_id,product_option_id,product_id,option_id,option_value_id,quantity,subtract,price,price_prefix,points,points_prefix,weight,weight_prefix
67028,55782,11517,955,111,1000,1,0,+,0,+,0,+
67029,55782,11517,955,113,999,1,0,+,0,+,0,+
67030,55782,11517,955,105,1000,1,0,+,0,+,0,+
67077,55812,46151,361,79,1000,0,1,+,0,+,1,+
67078,55812,46151,361,77,1000,0,1,+,0,+,1,+
67079,55812,46151,361,75,1000,0,1,+,0,+,1,+
67080,55812,46151,361,76,1000,0,1,+,0,+,1,+
67081,55812,46151,361,74,1000,0,0,+,0,+,1,+
67082,55812,46151,361,73,1000,0,0,+,0,+,1,+
67083,55812,46151,361,72,1000,0,0,+,0,+,1,+
67084,55812,46151,361,71,1000,0,0,+,0,+,1,+
67085,55812,46151,361,78,1000,0,1,+,0,+,1,+
67093,55820,46152,361,79,1000,0,1,+,0,+,1,+
67094,55820,46152,361,77,1000,0,1,+,0,+,1,+
67095,55820,46152,361,75,1000,0,1,+,0,+,1,+
67096,55820,46152,361,76,1000,0,1,+,0,+,1,+
67097,55820,46152,361,74,1000,0,0,+,0,+,1,+
67098,55820,46152,361,73,1000,0,0,+,0,+,1,+
67099,55820,46152,361,72,1000,0,0,+,0,+,1,+
67100,55820,46152,361,71,1000,0,0,+,0,+,1,+
67101,55820,46152,361,78,1000,0,1,+,0,+,1,+
67116,55835,46178,1085,226,1000,0,0,+,0,+,0,+
67117,55835,46178,1085,227,1000,0,20,+,0,+,0,+
67118,55836,46178,2293,239,0,0,0,+,0,+,0,+
67119,55836,46178,2293,240,0,0,0,+,0,+,0,+
67120,55841,48231,955,113,0,0,0,+,0,+,0,+
67121,55841,48231,955,111,0,0,0,+,0,+,0,+
67122,55841,48231,955,112,0,0,0,+,0,+,0,+
67123,55841,48231,955,117,0,0,0,+,0,+,0,+
67170,55882,48154,13,319,0,0,59.99,+,0,+,0,+
67171,55882,48154,13,243,1000,0,0,+,0,+,0,+
67172,55882,48154,13,244,1000,0,10,+,0,+,0,+
67173,55882,48154,13,245,1000,0,20,+,0,+,0,+
67174,55882,48154,13,246,1000,0,30,+,0,+,0,+
67175,55883,48154,955,116,0,0,0,+,0,+,0,+
67176,55883,48154,955,124,0,0,0,+,0,+,0,+
67177,55884,48154,2298,247,0,0,0,+,0,+,0,+
67178,55884,48154,2298,248,0,0,0,+,0,+,0,+
67179,55884,48154,2298,250,0,0,0,+,0,+,0,+
67180,55884,48154,2298,249,0,0,0,+,0,+,0,+
67181,55885,48154,2375,261,1000,1,0,+,0,+,0,+
67182,55885,48154,2375,262,1000,1,0,+,0,+,0,+
67183,55885,48154,2375,263,1000,1,0,+,0,+,0,+
67184,55885,48154,2375,264,1000,1,0,+,0,+,0,+
67185,55885,48154,2375,265,1000,1,0,+,0,+,0,+
67186,55885,48154,2375,266,1000,1,0,+,0,+,0,+
67187,55885,48154,2375,267,1000,1,0,+,0,+,0,+
67188,55885,48154,2375,268,1000,1,0,+,0,+,0,+
67189,55885,48154,2375,269,1000,1,0,+,0,+,0,+
67190,55885,48154,2375,270,1000,1,0,+,0,+,0,+
67191,55885,48154,2375,271,1000,1,0,+,0,+,0,+
67192,55885,48154,2375,272,1000,1,0,+,0,+,0,+
67193,55885,48154,2375,273,1000,1,0,+,0,+,0,+
67194,55885,48154,2375,274,1000,1,0,+,0,+,0,+
67195,55885,48154,2375,275,1000,1,0,+,0,+,0,+
67196,55885,48154,2375,276,1000,1,0,+,0,+,0,+
67197,55885,48154,2375,277,1000,1,0,+,0,+,0,+
67198,55885,48154,2375,278,1000,1,0,+,0,+,0,+
67199,55885,48154,2375,279,1000,1,0,+,0,+,0,+
67200,55885,48154,2375,280,1000,1,0,+,0,+,0,+
67201,55885,48154,2375,281,1000,1,0,+,0,+,0,+
67202,55885,48154,2375,282,1000,1,0,+,0,+,0,+
67203,55885,48154,2375,283,1000,1,0,+,0,+,0,+
67204,55885,48154,2375,284,1000,1,0,+,0,+,0,+
67205,55885,48154,2375,285,1000,1,0,+,0,+,0,+
67206,55885,48154,2375,286,1000,1,0,+,0,+,0,+
67278,55951,48358,2659,349,0,0,0,+,0,+,0,+
67279,55951,48358,2659,350,0,0,10,+,0,+,0,+
67280,55951,48358,2659,351,0,0,25,+,0,+,0,+
67281,55951,48358,2659,352,0,0,45,+,0,+,0,+
67284,55952,48358,2660,355,0,0,0,+,0,+,0,+
67285,55952,48358,2660,356,0,0,0,+,0,+,0,+
67286,55952,48358,2660,357,0,0,10,+,0,+,0,+
67287,55952,48358,2660,358,0,0,10,+,0,+,0,+
67288,55952,48358,2660,359,0,0,10,+,0,+,0,+
67289,55952,48358,2660,360,0,0,10,+,0,+,0,+
67313,55972,46187,825,103,1000,0,0,+,0,+,0.00000022,+
67355,56011,46637,13,324,1000,0,0,+,0,+,1,+
67356,56011,46637,13,325,1000,0,10,+,0,+,1,+
67357,56011,46637,13,197,0,0,50,+,0,+,0,+
67358,56011,46637,13,319,0,0,70,+,0,+,0,+
67359,56014,46637,825,103,1000,0,0,+,0,+,0,+
67367,56017,11938,13,319,0,0,71,+,0,+,0,+
67368,56017,11938,13,324,1000,0,1,+,0,+,1,+
67369,56017,11938,13,63,1000,0,7,+,0,+,2,+
67370,56017,11938,13,325,1000,0,11,+,0,+,2,+
67371,56017,11938,13,425,0,0,0,+,0,+,0,+
67372,56017,11938,13,201,0,0,47,+,0,+,0,+
67373,56017,11938,13,197,0,0,51,+,0,+,0,+
67374,56021,13018,13,319,0,0,69,+,0,+,0,+
67375,56021,13018,13,324,1000,0,2,+,0,+,1,+
67376,56021,13018,13,63,1000,0,5,+,0,+,2,+
67377,56021,13018,13,325,1000,0,10,+,0,+,2,+
67378,56021,13018,13,425,0,0,0,+,0,+,0,+
67379,56021,13018,13,201,0,0,45,+,0,+,0,+
67380,56021,13018,13,197,0,0,50,+,0,+,0,+
67381,56025,13033,13,319,0,0,69,+,0,+,0,+
67382,56025,13033,13,324,1000,0,2,+,0,+,1,+
67383,56025,13033,13,63,1000,0,5,+,0,+,2,+
67384,56025,13033,13,325,1000,0,10,+,0,+,2,+
67385,56025,13033,13,425,0,0,0,+,0,+,0,+
67386,56025,13033,13,201,0,0,45,+,0,+,0,+
67387,56025,13033,13,197,0,0,50,+,0,+,0,+
67388,56030,12853,13,319,1000,0,69,+,0,+,0,+
67389,56030,12853,13,324,1000,0,2,+,0,+,0,+
67390,56030,12853,13,63,1000,0,5,+,0,+,0,+
67391,56030,12853,13,325,1000,0,10,+,0,+,0,+
67392,56030,12853,13,425,1000,0,0,+,0,+,0,+
67393,56030,12853,13,201,1000,0,45,+,0,+,0,+
67394,56030,12853,13,197,1000,0,50,+,0,+,0,+
67406,56043,46155,361,79,1000,0,1,+,0,+,1,+
67407,56043,46155,361,77,1000,0,1,+,0,+,1,+
67408,56043,46155,361,75,1000,0,1,+,0,+,1,+
67409,56043,46155,361,76,1000,0,1,+,0,+,1,+
67410,56043,46155,361,74,1000,0,0,+,0,+,1,+
67411,56043,46155,361,73,1000,0,0,+,0,+,1,+
67412,56043,46155,361,72,1000,0,0,+,0,+,1,+
67413,56043,46155,361,71,1000,0,0,+,0,+,1,+
67414,56043,46155,361,78,1000,0,1,+,0,+,1,+
67415,56047,46154,361,79,1000,0,1,+,0,+,1,+
67416,56047,46154,361,77,1000,0,1,+,0,+,1,+
67417,56047,46154,361,75,1000,0,1,+,0,+,1,+
67418,56047,46154,361,76,1000,0,1,+,0,+,1,+
67419,56047,46154,361,74,1000,0,0,+,0,+,1,+
67420,56047,46154,361,73,1000,0,0,+,0,+,1,+
67421,56047,46154,361,72,1000,0,0,+,0,+,1,+
67422,56047,46154,361,71,1000,0,0,+,0,+,1,+
67423,56047,46154,361,78,1000,0,1,+,0,+,1,+
67424,56051,48338,2659,349,0,0,0,+,0,+,0,+
67425,56051,48338,2659,350,0,0,10,+,0,+,0,+
67426,56051,48338,2659,351,0,0,25,+,0,+,0,+
67427,56051,48338,2659,352,0,0,45,+,0,+,0,+
