product_image_id,product_id,image,sort_order,is_compress
89233,46335,catalog/products/custom-cowboy-birthday-invitation-thank-you-cards-western-party-a58308.jpg,0,0
89234,46335,catalog/products/custom-cowboy-birthday-invitation-thank-you-cards-western-party-a58309.jpg,1,0
89235,46335,catalog/products/custom-cowboy-birthday-invitation-thank-you-cards-western-party-a58310.jpg,2,0
89245,46409,catalog/products/custom-dinosaur-birthday-invitation-thank-you-card-dino-invite-a58326.jpg,0,0
89246,46409,catalog/products/custom-dinosaur-birthday-invitation-thank-you-card-dino-invite-a58327.jpg,1,0
89247,46409,catalog/products/custom-dinosaur-birthday-invitation-thank-you-card-dino-invite-a58328.jpg,2,0
89248,46384,catalog/products/custom-dinosaur-birthday-invitation-thank-you-cards-dinosaur-a58329.jpg,0,0
89249,46384,catalog/products/custom-dinosaur-birthday-invitation-thank-you-cards-dinosaur-a58330.jpg,1,0
89250,46418,catalog/products/custom-dinosaur-birthday-invitation-thank-you-cards-dinosaur-a58331.jpg,0,0
89251,46418,catalog/products/custom-dinosaur-birthday-invitation-thank-you-cards-dinosaur-a58332.jpg,1,0
89252,46418,catalog/products/custom-dinosaur-birthday-invitation-thank-you-cards-dinosaur-a58333.jpg,2,0
